exp,condition,participant,trialno,aiming_target,rotation_deg,aimingdeviation_deg,arrow_offset,phase
4,aiming,71bb80,1,135,0,1,15,baseline
4,aiming,71bb80,2,105,0,1,15,baseline
4,aiming,71bb80,3,45,0,1,15,baseline
4,aiming,71bb80,4,75,0,0,15,baseline
4,aiming,71bb80,5,105,0,1,15,baseline
4,aiming,71bb80,6,45,0,1,15,baseline
4,aiming,71bb80,7,75,0,1,15,baseline
4,aiming,71bb80,8,135,0,2,15,baseline
4,aiming,71bb80,9,135,0,2,15,baseline
4,aiming,71bb80,10,105,0,2,15,baseline
4,aiming,71bb80,11,75,0,1,15,baseline
4,aiming,71bb80,12,45,0,2,15,baseline
4,aiming,71bb80,13,75,0,3,15,baseline
4,aiming,71bb80,14,105,0,1,15,baseline
4,aiming,71bb80,15,45,0,1,15,baseline
4,aiming,71bb80,16,135,0,2,15,baseline
4,aiming,71bb80,17,45,0,0,15,baseline
4,aiming,71bb80,18,105,0,1,15,baseline
4,aiming,71bb80,19,135,0,1,15,baseline
4,aiming,71bb80,20,75,0,0,15,baseline
4,aiming,71bb80,21,105,45,1,15,rotation
4,aiming,71bb80,22,45,45,-1,15,rotation
4,aiming,71bb80,23,135,45,1,15,rotation
4,aiming,71bb80,24,75,45,0,15,rotation
4,aiming,71bb80,25,105,45,0,15,rotation
4,aiming,71bb80,26,135,45,1,15,rotation
4,aiming,71bb80,27,45,45,1,15,rotation
4,aiming,71bb80,28,75,45,-14,15,rotation
4,aiming,71bb80,29,135,45,-13,15,rotation
4,aiming,71bb80,30,75,45,-13,15,rotation
4,aiming,71bb80,31,45,45,-15,15,rotation
4,aiming,71bb80,32,105,45,-7,15,rotation
4,aiming,71bb80,33,105,45,-6,15,rotation
4,aiming,71bb80,34,135,45,-6,15,rotation
4,aiming,71bb80,35,45,45,-8,15,rotation
4,aiming,71bb80,36,75,45,5,15,rotation
4,aiming,71bb80,37,105,45,-5,15,rotation
4,aiming,71bb80,38,75,45,5,15,rotation
4,aiming,71bb80,39,45,45,-5,15,rotation
4,aiming,71bb80,40,135,45,-5,15,rotation
4,aiming,71bb80,41,45,45,-3,15,rotation
4,aiming,71bb80,42,135,45,-8,15,rotation
4,aiming,71bb80,43,105,45,7,15,rotation
4,aiming,71bb80,44,75,45,9,15,rotation
4,aiming,71bb80,45,105,45,-8,15,rotation
4,aiming,71bb80,46,135,45,-14,15,rotation
4,aiming,71bb80,47,75,45,NA,15,rotation
4,aiming,71bb80,48,45,45,NA,15,rotation
4,aiming,71bb80,49,45,45,NA,15,rotation
4,aiming,71bb80,50,105,45,-8,15,rotation
4,aiming,71bb80,51,75,45,NA,15,rotation
4,aiming,71bb80,52,135,45,-14,15,rotation
4,aiming,71bb80,53,135,45,-29,15,rotation
4,aiming,71bb80,54,75,45,-25,15,rotation
4,aiming,71bb80,55,45,45,-28,15,rotation
4,aiming,71bb80,56,105,45,-37,15,rotation
4,aiming,71bb80,57,45,45,-33,15,rotation
4,aiming,71bb80,58,105,45,-49,15,rotation
4,aiming,71bb80,59,75,45,-34,15,rotation
4,aiming,71bb80,60,135,45,-29,15,rotation
4,aiming,71bb80,61,45,45,-28,15,rotation
4,aiming,71bb80,62,105,45,-31,15,rotation
4,aiming,71bb80,63,135,45,-34,15,rotation
4,aiming,71bb80,64,75,45,-34,15,rotation
4,aiming,71bb80,65,105,45,-31,15,rotation
4,aiming,71bb80,66,75,45,-30,15,rotation
