exp,condition,participant,trialno,target,rotation_deg,reachdeviation_deg,phase
4,aiming,71bb80,1,142.5,0,10.9695494320184,baseline
4,aiming,71bb80,2,97.5,0,-2.93174604080185,baseline
4,aiming,71bb80,3,37.5,0,16.0656114081795,baseline
4,aiming,71bb80,4,82.5,0,-3.3416129404013,baseline
4,aiming,71bb80,5,97.5,0,11.7307718283138,baseline
4,aiming,71bb80,6,52.5,0,13.5803541105068,baseline
4,aiming,71bb80,7,67.5,0,6.57954268346557,baseline
4,aiming,71bb80,8,142.5,0,-6.69105711193844,baseline
4,aiming,71bb80,9,142.5,0,-0.282118488059812,baseline
4,aiming,71bb80,10,97.5,0,-1.08120690453948,baseline
4,aiming,71bb80,11,67.5,0,2.49887954393379,baseline
4,aiming,71bb80,12,52.5,0,0.815431851540118,baseline
4,aiming,71bb80,13,67.5,0,-0.873076239790519,baseline
4,aiming,71bb80,14,97.5,0,-5.76779547355489,baseline
4,aiming,71bb80,15,52.5,0,6.5072293478277,baseline
4,aiming,71bb80,16,142.5,0,-8.05609670218582,baseline
4,aiming,71bb80,17,37.5,0,25.7503854421911,baseline
4,aiming,71bb80,18,112.5,0,6.7231745094013,baseline
4,aiming,71bb80,19,142.5,0,-13.586279077827,baseline
4,aiming,71bb80,20,67.5,0,11.0498556646818,baseline
4,aiming,71bb80,21,112.5,0,-8.22469945352468,rotation
4,aiming,71bb80,22,52.5,0,-12.4753990769837,rotation
4,aiming,71bb80,23,127.5,0,-10.2572056767444,rotation
4,aiming,71bb80,24,67.5,0,-13.7199139333986,rotation
4,aiming,71bb80,25,97.5,0,-7.49999999999999,rotation
4,aiming,71bb80,26,127.5,0,-16.3008991824765,rotation
4,aiming,71bb80,27,52.5,0,-10.8527663144619,rotation
4,aiming,71bb80,28,82.5,0,-17.2610522895358,rotation
4,aiming,71bb80,29,127.5,0,-10.1873845920347,rotation
4,aiming,71bb80,30,82.5,0,-16.2394395438351,rotation
4,aiming,71bb80,31,52.5,0,-11.8606983321998,rotation
4,aiming,71bb80,32,97.5,0,-10.385537816637,rotation
4,aiming,71bb80,33,112.5,0,-27.6840050713825,rotation
4,aiming,71bb80,34,127.5,0,-28.9014758449867,rotation
4,aiming,71bb80,35,37.5,0,-12.7292196457911,rotation
4,aiming,71bb80,36,82.5,0,-30.0325957185939,rotation
4,aiming,71bb80,37,97.5,0,-26.4069384433172,rotation
4,aiming,71bb80,38,82.5,0,-21.489950611257,rotation
4,aiming,71bb80,39,52.5,0,-18.1284075141769,rotation
4,aiming,71bb80,40,127.5,0,-18.0375853288763,rotation
4,aiming,71bb80,41,52.5,0,-23.5648234695176,rotation
4,aiming,71bb80,42,127.5,0,-18.5930615566828,rotation
4,aiming,71bb80,43,97.5,0,-29.1471819928429,rotation
4,aiming,71bb80,44,82.5,0,-31.4022070248636,rotation
4,aiming,71bb80,45,112.5,0,-24.1574015434139,rotation
4,aiming,71bb80,46,127.5,0,-7.41911555418233,rotation
4,aiming,71bb80,47,82.5,0,-18.1248536171301,rotation
4,aiming,71bb80,48,37.5,0,-6.47542134140688,rotation
4,aiming,71bb80,49,52.5,0,-17.3544545002939,rotation
4,aiming,71bb80,50,97.5,0,-28.0143083891228,rotation
4,aiming,71bb80,51,67.5,0,-14.6595639073299,rotation
4,aiming,71bb80,52,142.5,0,-17.4359582002603,rotation
4,aiming,71bb80,53,142.5,0,-27.6225001322825,rotation
4,aiming,71bb80,54,67.5,0,-30.8034778952084,rotation
4,aiming,71bb80,55,37.5,0,-19.3389075737756,rotation
4,aiming,71bb80,56,112.5,0,-27.6075361337984,rotation
4,aiming,71bb80,57,37.5,0,-28.0074664477204,rotation
4,aiming,71bb80,58,97.5,0,-20.553725863576,rotation
4,aiming,71bb80,59,82.5,0,-22.3846525904886,rotation
4,aiming,71bb80,60,142.5,0,-20.7471829242535,rotation
4,aiming,71bb80,61,37.5,0,-17.8530917219177,rotation
4,aiming,71bb80,62,112.5,0,-28.5020317951435,rotation
4,aiming,71bb80,63,142.5,0,-16.7346736680029,rotation
4,aiming,71bb80,64,67.5,0,-26.1339321092737,rotation
4,aiming,71bb80,65,112.5,0,-17.8191100028475,rotation
4,aiming,71bb80,66,67.5,0,-21.8512883871302,rotation
4,aiming,71bb80,67,142.5,0,-29.9102028431196,rotation
4,aiming,71bb80,68,37.5,0,-25.2507068491647,rotation
4,aiming,71bb80,69,142.5,0,-36.8244458064154,rotation
4,aiming,71bb80,70,67.5,0,-34.1487779206337,rotation
4,aiming,71bb80,71,97.5,0,-35.4449155076306,rotation
4,aiming,71bb80,72,52.5,0,-26.7225424270365,rotation
4,aiming,71bb80,73,112.5,0,-32.0709873750001,rotation
4,aiming,71bb80,74,37.5,0,-29.0636525845804,rotation
4,aiming,71bb80,75,67.5,0,-36.4940784917758,rotation
4,aiming,71bb80,76,142.5,0,-26.8751463828699,rotation
4,aiming,71bb80,77,82.5,0,-33.5182986902011,rotation
4,aiming,71bb80,78,97.5,0,-28.260219435068,rotation
4,aiming,71bb80,79,127.5,0,-33.9859840812572,rotation
4,aiming,71bb80,80,52.5,0,-18.6115113731844,rotation
4,aiming,71bb80,81,127.5,0,-43.2562375562973,rotation
4,aiming,71bb80,82,67.5,0,-34.7126996667015,rotation
4,aiming,71bb80,83,52.5,0,-37.0237196957395,rotation
4,aiming,71bb80,84,112.5,0,-27.1107337294587,rotation
4,aiming,71bb80,85,127.5,0,-27.7755533128764,rotation
4,aiming,71bb80,86,112.5,0,-25.385537816637,rotation
4,aiming,71bb80,87,67.5,0,-36.501837192189,rotation
4,aiming,71bb80,88,52.5,0,-31.3727616957627,rotation
4,aiming,71bb80,89,67.5,0,-34.3475528607784,rotation
4,aiming,71bb80,90,52.5,0,-27.845278623704,rotation
4,aiming,71bb80,91,127.5,0,-32.7467671427803,rotation
4,aiming,71bb80,92,112.5,0,-30.5844298876457,rotation
4,aiming,71bb80,93,142.5,0,-34.8444015738559,rotation
4,aiming,71bb80,94,67.5,0,-32.610120523517,rotation
4,aiming,71bb80,95,52.5,0,-25.370143024957,rotation
4,aiming,71bb80,96,97.5,0,-25.6453879832742,rotation
4,aiming,71bb80,97,67.5,0,-37.0296730832057,rotation
4,aiming,71bb80,98,52.5,0,-25.0255683737229,rotation
4,aiming,71bb80,99,97.5,0,-19.3146135019562,rotation
4,aiming,71bb80,100,142.5,0,-34.3904398177155,rotation
4,aiming,71bb80,101,37.5,0,-13.8628438941797,rotation
4,aiming,71bb80,102,142.5,0,-22.0162467612941,rotation
4,aiming,71bb80,103,97.5,0,-25.6558980030094,rotation
4,aiming,71bb80,104,82.5,0,-35.5772586412182,rotation
4,aiming,71bb80,105,82.5,0,-28.8884430779119,rotation
4,aiming,71bb80,106,37.5,0,-32.1232945719493,rotation
4,aiming,71bb80,107,127.5,0,-19.6212467025072,rotation
4,aiming,71bb80,108,112.5,0,-31.030689962618,rotation
4,aiming,71bb80,109,127.5,0,-34.9914889928572,rotation
4,aiming,71bb80,110,52.5,0,-20.2956353704933,rotation
4,aiming,71bb80,111,112.5,0,-32.349014511117,rotation
4,aiming,71bb80,112,67.5,0,-27.7643976166733,rotation
4,aiming,71bb80,113,82.5,0,-22.7583272342717,rotation
4,aiming,71bb80,114,37.5,0,-19.2423235740814,rotation
4,aiming,71bb80,115,97.5,0,-22.5113866140455,rotation
4,aiming,71bb80,116,142.5,0,-7.01424468967916,rotation
4,aiming,71bb80,117,97.5,0,-28.383986758898,rotation
4,aiming,71bb80,118,37.5,0,-29.9817940585267,rotation
4,aiming,71bb80,119,142.5,0,-40.1874102118793,rotation
4,aiming,71bb80,120,82.5,0,-24.3554389742633,rotation
4,aiming,d8520c,1,112.5,0,1.05936913266871,baseline
4,aiming,d8520c,2,82.5,0,4.18796603435216,baseline
4,aiming,d8520c,3,37.5,0,11.110218030049,baseline
4,aiming,d8520c,4,127.5,0,1.93947737462722,baseline
4,aiming,d8520c,5,82.5,0,-9.54868150805813,baseline
4,aiming,d8520c,6,97.5,0,6.01666749713701,baseline
4,aiming,d8520c,7,52.5,0,1.42800695434426,baseline
4,aiming,d8520c,8,127.5,0,3.18611918795862,baseline
4,aiming,d8520c,9,112.5,0,10.1526082840778,baseline
4,aiming,d8520c,10,52.5,0,6.22434346084725,baseline
4,aiming,d8520c,11,67.5,0,8.84608273636604,baseline
4,aiming,d8520c,12,127.5,0,-6.31683569840455,baseline
4,aiming,d8520c,13,52.5,0,6.01959644736307,baseline
4,aiming,d8520c,14,97.5,0,6.47265119355112,baseline
4,aiming,d8520c,15,82.5,0,1.99833779413479,baseline
4,aiming,d8520c,16,127.5,0,-0.340436092670102,baseline
4,aiming,d8520c,17,97.5,0,0.874333136536793,baseline
4,aiming,d8520c,18,52.5,0,8.48135427568336,baseline
